===PREVIEW===
Lowest verified 333Obra offers using Americana/SP as a Nova Odessa proxy.
These quotations must not be auto-selected and exclude unknown freight.
===END_PREVIEW===
===FILE: PRICE_PACK.csv===
id,description,quotation_id,unit_price,quantity,unit,vendor,shipping_cost,total_price,product_url,price_notes,checked_at,selected,currency,brand,model,specifications,package_size,availability,seller_location,quote_valid_until,source_type,source_name,source_page,extraction_confidence,ambiguities
EXP_0016,Cimento,333OBRA_AMERICANA_20260917,29.0,1,saco (50 kg),333Obra,0,29.0,https://www.333obra.com.br/cimento-50kg-cpii-32-nacional.html,Produto: Cimento CPII 32 Nacional 50kg Multimax. Preço exibido: R$ 29.00. Local de referência: Americana/SP (proxy para Nova Odessa/SP).,2026-09-17,False,BRL,,,"{""type"":""CPII 32"",""brand"":""Multimax / Nacional"",""weight"":""50 kg""}",50 kg,,Americana/SP — proxy; entrega não confirmada,,text,333obra-lowest-prices.json,,1,Lowest verified quantity-1 price among candidates recorded for this expense; other brands exist but were not added as confirmed candidates in this write.; SKU and seller were not captured from the verified page content; both are null.; Preço de Americana/SP usado somente como proxy para Nova Odessa/SP.; Frete para a obra não confirmado e não incluído.
EXP_0017,Telha,333OBRA_AMERICANA_20260917,2.15,1,unidade,333Obra,0,2.15,https://www.333obra.com.br/telha-portuguesa-resinada-ceramica-40-4cm-x-24-1cm-x-35cm.html,Produto: Telha Portuguesa Resinada 40.4x24.1cm. Preço exibido: R$ 2.15. Local de referência: Americana/SP (proxy para Nova Odessa/SP).,2026-09-17,False,BRL,,,"{""type"":""Portuguesa resinada"",""dimensions"":""40.4 cm x 24.1 cm"",""material"":""ceramic (resinada)""}",1 unidade,,Americana/SP — proxy; entrega não confirmada,,text,333obra-lowest-prices.json,,1,Only verified ceramic roof-tile candidate recorded for this expense in this run.; SKU and seller were not captured from the verified page content; both are null.; Preço de Americana/SP usado somente como proxy para Nova Odessa/SP.; Frete para a obra não confirmado e não incluído.
EXP_0021,Arame recuzido,333OBRA_AMERICANA_20260917,13.6,1,quilograma (kg),333Obra,0,13.6,https://www.333obra.com.br/arame-recozido-n-18.html,Produto: Arame Recozido Nº18 1kg. Preço exibido: R$ 13.60. Local de referência: Americana/SP (proxy para Nova Odessa/SP).,2026-09-17,False,BRL,,,"{""gauge"":""Nº18"",""package"":""1 kg""}",1 kg,,Americana/SP — proxy; entrega não confirmada,,text,333obra-lowest-prices.json,,1,Only verified annealed-wire candidate recorded for this expense in this run.; SKU and seller were not captured from the verified page content; both are null.; Preço de Americana/SP usado somente como proxy para Nova Odessa/SP.; Frete para a obra não confirmado e não incluído.
EXP_0024,Rejunte de porcelanato,333OBRA_AMERICANA_20260917,5.59,1,quilograma (kg),333Obra,0,5.59,https://www.333obra.com.br/p/rejunte-flexivel-votomassa-preto-1-kg.html,Produto: Rejunte Flexível Cerâmica Preto 1Kg - Votomassa - 1 Unidade. Preço exibido: R$ 5.59. Local de referência: Americana/SP (proxy para Nova Odessa/SP).,2026-09-17,False,BRL,,69-66,"{""type"":""Flexível"",""brand"":""Votomassa"",""packaging"":""Saco de 1kg"",""indicated_use"":""Fachadas, lajes e telhados, parede interna, pisos e rodapé"",""drying_time"":""48 horas para tráfego de pessoas""}",1 kg,in_stock,Americana/SP — proxy; entrega não confirmada,,text,333obra-lowest-prices.json,,1,Lowest verified quantity-1 normalized price among comparable grout candidates. The visible page did not expose the winning seller name; seller is null.; Preço de Americana/SP usado somente como proxy para Nova Odessa/SP.; Frete para a obra não confirmado e não incluído.
EXP_0025,Argamassa para o porcelanato,333OBRA_AMERICANA_20260917,22.9,1,saco (20 kg),333Obra,0,22.9,https://www.333obra.com.br/p/argamassa-ac3-cinza-7-em-1-20-kg-pisokoll.html,Produto: Argamassa Colante ACIII Pisokoll 7 em 1 Interno e Externo Cinza 20kg - Pisokoll - 1 Unidade. Preço exibido: R$ 22.90. Local de referência: Americana/SP (proxy para Nova Odessa/SP).,2026-09-17,False,BRL,,9053-10,"{""type"":""ACIII, assentamento e revestimento"",""brand"":""Pisokoll"",""color"":""Cinza"",""indicated_use"":""Porcelanatos e cerâmicas"",""open_time"":""20 minutos""}",20 kg bag,in_stock,Americana/SP — proxy; entrega não confirmada,,text,333obra-lowest-prices.json,,1,Lowest verified quantity-1 price. The R$21.50 price applies only from 20 bags and was excluded from ranking; seller name was not exposed.; Preço de Americana/SP usado somente como proxy para Nova Odessa/SP.; Frete para a obra não confirmado e não incluído.
EXP_0028,Vaso,333OBRA_AMERICANA_20260917,399.9,1,unidade,333Obra,0,399.9,https://www.333obra.com.br/p/vaso-com-caixa-acoplada-way-branco-6l-lorenzetti.html,Produto: Vaso com Caixa Acoplada Way Branco 6L Lorenzetti. Preço exibido: R$ 399.90. Local de referência: Americana/SP (proxy para Nova Odessa/SP). Vendedor anunciado: Barbosa Materiais para Construção.,2026-09-17,False,BRL,,119987-4,"{""brand"":""Lorenzetti"",""model"":""Way"",""color"":""Branco"",""tank_capacity_l"":6,""components"":""bacia com caixa acoplada"",""finish"":""branco brilhante""}",1 unidade,in_stock,Americana/SP — proxy; entrega não confirmada,,text,333obra-lowest-prices.json,,1,Lowest verified quantity-1 Pix price among complete white coupled-tank toilet candidates.; Page description confirms coupled 6L tank; seat/accessories are not explicitly itemized as included.; Preço de Americana/SP usado somente como proxy para Nova Odessa/SP.; Frete para a obra não confirmado e não incluído.
EXP_0036,Torneiras,333OBRA_AMERICANA_20260917,13.6,1,unidade,333Obra,0,13.6,https://www.333obra.com.br/p/torneira-lavatorio-mesa-cromo-cross-1-2-tigre-unidade.html,"Produto: Torneira Lavatório Mesa Cromo Cross 1/2"" - Tigre - Unidade. Preço exibido: R$ 13.60. Local de referência: Americana/SP (proxy para Nova Odessa/SP). Vendedor anunciado: PEZÃO MATERIAIS DE CONSTRUÇÃO.",2026-09-17,False,BRL,,226515-1,"{""brand"":""Tigre"",""line"":""Cross"",""finish"":""Cromo"",""mount"":""mesa / lavatório"",""connection"":""1/2\""""}",1 unidade,in_stock,Americana/SP — proxy; entrega não confirmada,,text,333obra-lowest-prices.json,,1,Lowest verified quantity-1 Pix price among chrome/chrome-accent lavatory deck faucets.; Spout height (bica alta) is not declared on the product page.; Preço de Americana/SP usado somente como proxy para Nova Odessa/SP.; Frete para a obra não confirmado e não incluído.
EXP_0037,Sifões e ralos,333OBRA_AMERICANA_20260917,9.04,1,unidade,333Obra,0,9.04,https://www.333obra.com.br/p/sif-o-sanfonado-multiuso-universal-branco-3332-krona.html,Produto: Sifão Sanfonado Multiuso Universal Branco 3332 - krona. Preço exibido: R$ 9.04. Local de referência: Americana/SP (proxy para Nova Odessa/SP). Vendedor anunciado: Azefer Materiais para Construção.,2026-09-17,False,BRL,,2893-31,"{""brand"":""Krona"",""model"":""3332"",""type"":""sifão sanfonado multiuso universal"",""color"":""Branco"",""components"":""sifão flexível, adaptador 1.1/2''x1.1/4'' ou 7/8'', 03 anéis de vedação em termoplástico vulcanizado e braçadeira"",""length_cm"":10,""width_cm"":20}",1 unidade,in_stock,Americana/SP — proxy; entrega não confirmada,,text,333obra-lowest-prices.json,,1,"Lowest verified quantity-1 Pix price among representative universal siphon candidates.; Representative siphon only; expense label also includes drains (ralos), which are not covered by this unit price.; Preço de Americana/SP usado somente como proxy para Nova Odessa/SP.; Frete para a obra não confirmado e não incluído."
EXP_0039,Pias e bancadas,333OBRA_AMERICANA_20260917,247.8,1,conjunto,333Obra,0,247.8,https://www.333obra.com.br/p/pia-de-marmore-sintetico-standart-150cm-travertino-5045-14-rorato.html,Produto: Pia de Mármore Sintético Standard Travertino 150cm - Rorato - 1 Unidade. Preço exibido: R$ 247.80. Local de referência: Americana/SP (proxy para Nova Odessa/SP). Vendedor anunciado: CONSTRUFORT.,2026-09-17,False,BRL,,3245-13,"{""brand"":""Rorato"",""material"":""mármore sintético"",""finish"":""Travertino / granitado gel coat"",""length_cm"":150,""width_cm"":55,""height_cm"":15,""weight_kg"":100}",1 unidade (150 x 55 x 15 cm),in_stock,Americana/SP — proxy; entrega não confirmada,,text,333obra-lowest-prices.json,,1,Lowest verified quantity-1 Pix price among pia/bancada candidates.; Synthetic-marble 150 cm set; the stainless 120 cm Ghelplus candidate is closer to prior inox comparable specs but costs more.; Preço de Americana/SP usado somente como proxy para Nova Odessa/SP.; Frete para a obra não confirmado e não incluído.
EXP_0044,Caixa de água,333OBRA_AMERICANA_20260917,440.8,1,unidade,333Obra,0,440.8,https://www.333obra.com.br/p/caixa-d-agua-de-polietileno-fortlev-1000-l.html,Produto: Caixa D'água 1000 Litros em Polietileno Azul - Fortlev - 1 Unidade. Preço exibido: R$ 440.80. Local de referência: Americana/SP (proxy para Nova Odessa/SP). Vendedor anunciado: Construeva Materias Para Construção.,2026-09-17,False,BRL,,146-78,"{""brand"":""Fortlev"",""material"":""polietileno"",""color"":""Azul"",""capacity_l"":1000,""lid"":""tampa com sistema exclusivo de encaixe (não roscada no título)""}",1 unidade (1000 L),in_stock,Americana/SP — proxy; entrega não confirmada,,text,333obra-lowest-prices.json,,1,Lowest verified quantity-1 Pix price among 1000 L polyethylene tank candidates.; Quantity-1 Pix price is R$440.80; R$505.80 appears only as a crossed-out reference.; Bulk tier from 2 units at R$428.90 is recorded separately and not used for quantity-1 ranking.; Preço de Americana/SP usado somente como proxy para Nova Odessa/SP.; Frete para a obra não confirmado e não incluído.
